year,estimated_tot_km_per_driver
1950,300
1951,300
1952,300
1953,300
1954,500
1955,500
1956,500
1957,500
1958,450
1959,450
1960,450
1961,450
1962,450
1963,450
1964,450
1965,450
1966,350
1967,350
1968,350
1969,350
1970,350
1971,321
1972,321
1973,321
1974,321
1975,321
1976,321
1977,300
1978,300
1979,300
1980,300
1981,300
1982,300
1983,300
1984,310
1985,310
1986,310
1987,310
1988,310
1989,305
1990,305
1991,305
1992,305
1993,305
1994,305
1995,305
1996,305
1997,305
1998,305
1999,305
2000,305
2001,305
2002,305
2003,305
2004,305
2005,305
2006,305
2007,305
2008,305
2009,305
2010,305
2011,305
2012,305
2013,305
2014,305
2015,305
2016,305
2017,305
2018,305
2019,305
2020,305
